userName,score,at,content
Yohan Angka,5,2024-09-30 18:15:36,ğŸ¥°
Ahmad thobari,5,2024-09-30 18:12:16,mantap
Essty Ajung,5,2024-09-30 18:10:19,Termakasih
Desi Desi,5,2024-09-30 18:09:38,karna FB saya jadi bisa terhibur
Firman Maulana,5,2024-09-30 18:09:28,Nice
Aliando Tea,5,2024-09-30 18:08:55,Good
Addy Devkkan Aja Dehh,1,2024-09-30 18:02:02,Sering lemot.. tak merespon..ğŸ‘
Zari Zary,5,2024-09-30 18:01:26,baik
Dian Permana,3,2024-09-30 17:55:02,sukses selalu
Irfan Adryan,5,2024-09-30 17:54:09,bagus
aLief_ oLeNk,4,2024-09-30 17:52:13,Cuma mau tanya knp saya ga bisa masuk akun fb.. Tiap masuk selalu minta kode verifikasi.. Pdhl akun sama sandi lengkap bener.. Ya udah gue yang mengalah langsung gue uninstal. Ribet ribett nyesel gue main aplk ini ğŸ˜¤
Indra Key,5,2024-09-30 17:50:42,Asik
poindul erection stringging,5,2024-09-30 17:38:58,Keren mantap dah
Naisila Cell,5,2024-09-30 17:38:44,NAsiLA
Aan Firmansyah,5,2024-09-30 17:38:04,Apik
jhonsius pihahey (Johan Bekke),5,2024-09-30 17:35:36,Maaantaaaap
Modjo Dll,5,2024-09-30 17:31:13,Mantab..emberikan kesempatan untuk para pengguna dalam meyalurkan bakat hobby dan lain nya supaya bisa menghadilkan uang
Rahma Nisa,5,2024-09-30 17:29:29,ok
ogi saputra,5,2024-09-30 17:27:11,"keren dan mantap fitur""nya"
GULANG-GULANG HERBAL,5,2024-09-30 17:22:50,keren ğŸ˜
Putri K,5,2024-09-30 17:18:18,Semoga aplikasi ini menjadi yang terbaik bnyak kemasukan dan berbagai pengalaman menjadi pintu rezeki buat aku sukses slalu
Alif Asegaf,3,2024-09-30 17:15:38,"2A,2T JIU T H2Qz:^"
Fransiskus Sensi Edion,5,2024-09-30 17:11:19,Sukses
Sugiono gogon gogon,5,2024-09-30 17:10:36,Game nya bagus
Arif Estrada,5,2024-09-30 17:03:19,ok
Pandi Syafrudin,5,2024-09-30 17:01:04,Mantap
ØªÙ‰ÙŠ ØªÙ„Ø¨,1,2024-09-30 16:48:34,Ys yayah sahriyah
Hadiman Syah,5,2024-09-30 16:47:17,good
Ramma Sulbar,1,2024-09-30 16:46:22,"saya tidak bisa membuka link di app facebook, selalu meminta saya membeli paket data"
Lissoi lissoi,5,2024-09-30 16:42:40,awesome
Rahmat Nurrahman,5,2024-09-30 16:40:12,iklan tolong d perdikit
jangsari jang,5,2024-09-30 16:36:32,Repot google ply slalu upadete.mngpa perbaruan trs.bung Google ply tingktkn produk baru y Google ply.mkash.
Fernando Kevin,5,2024-09-30 16:35:06,bagus
Deka Machyar,5,2024-09-30 16:28:06,Sukses slalu
Abangogut,1,2024-09-30 16:27:44,"Notif komentar,pengikut dll, sering tidak muncul, sangat menyulitkan sekali untuk berinteraksi"
Hariman SE,5,2024-09-30 16:27:04,"Terus berkarya klg besar BPR Muhadi Muhadi Setia Budi, mdh2an Allah SWT ridho, amin ya rabbal alamin"
Sanijordi Jordisani,1,2024-09-30 16:25:21,"saya mau masuk ke akun sendiri alamat yang saya masuk kan pun sudah benar kode nya benar tapi selalu menyata kan kode nya salah, ini bagai mana cara nya agar saya bisa masuk ke akun saya yang lama, itu semua karna hp saya menginstal tersendirinya"
Ubid Bhepe,5,2024-09-30 16:24:58,Sangat bagus
Jonkpomen Jonk,5,2024-09-30 16:24:21,Ok
Soleh Solehedi,4,2024-09-30 16:23:28,Bagus
Diana Putri,5,2024-09-30 16:19:44,sangat membantu
Andi Putri Arisman Andi Putri Arisman,5,2024-09-30 16:19:08,Mantap
Gabe Saortuapangaribuan,5,2024-09-30 16:12:14,Bagus
Yadi Cahyadi,5,2024-09-30 16:11:08,Ok dengan info yg memberi pengetahuan terbaru
Anton82,5,2024-09-30 16:10:36,Bagus
Feby Yudha Rosfadino,4,2024-09-30 16:10:12,Plis mode profesional nya kok belum ada ya?? Pdhl bikin fb udh dri tahun 2010an
Rio io,5,2024-09-30 16:08:49,Mantapo
Mul Yana,3,2024-09-30 16:08:45,Mantapkan
Nur Adam,5,2024-09-30 16:05:54,Berkebun
Syukron,1,2024-09-30 16:02:30,Akun ilang trooos
Tamtam Mbois,5,2024-09-30 15:59:48,Bagus
Muri Rahman,5,2024-09-30 15:51:34,good
Fadli dolo Ancung,5,2024-09-30 15:51:30,Bagus dan aman untuk digunakan..
Rohmat Hidayat,4,2024-09-30 15:51:27,so far so good
luthfi Almahdi,5,2024-09-30 15:45:16,mantap
Brian Batee,5,2024-09-30 15:42:44,Semoga sukses selalu
Salzu Mutiara,5,2024-09-30 15:41:23,semoga amanah. dan bermanfaat
AjajangHaris Haris,5,2024-09-30 15:36:01,Mantap sekali ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸
Lanjar Adipramono,4,2024-09-30 15:35:52,Ska main fbuk sangat bagus
Abdul Jalal,5,2024-09-30 15:34:55,luar biasa meta joss pokoknya
Wiwin Wiwin,5,2024-09-30 15:25:57,sangat bagus
Amin Rais,5,2024-09-30 15:25:24,ğŸ‘
Gina Ardhya garini,5,2024-09-30 15:23:06,"Semoga bisa dapet penghasilan dari aplikasi ini kaya orang lain,amin."
Haris Witanto,5,2024-09-30 15:22:39,FB mantap
Aries toteles Sitomang,5,2024-09-30 15:22:14,bagus untuk semua ...
Roy Novian,4,2024-09-30 15:21:25,Bagus
Haris Makripat,5,2024-09-30 15:20:20,Matappp
Danil Kastelo,5,2024-09-30 15:15:27,Aplikasi yang bagus keren dari pertama bikin akun tahun 2011 skrg sdh 2024 selalu memberi wadah bagi konten kreator untuk mengembangkan eksistensi nya terima kasih facebook
Maya Ulfa,5,2024-09-30 15:14:49,Coba deh
Siti Subaekah,5,2024-09-30 15:11:08,Sangat bagus
asep Grib,5,2024-09-30 15:05:06,bagus
Soleman Binbambang,5,2024-09-30 15:04:05,Mantap
Fara Nisa,5,2024-09-30 14:58:14,Oke
Untung Juragan Tomat,5,2024-09-30 14:57:55,sejauh ini masih bagus
Seniman Demiril,5,2024-09-30 14:54:56,Mantap
iketut agus Sartika,5,2024-09-30 14:54:48,bintangku jauh
pri yadi,5,2024-09-30 14:54:34,luar biasa..bermanfaat
Biyan Sunday,5,2024-09-30 14:53:55,Aplikasi yg sangat bagus
Ridwan Irawan,5,2024-09-30 14:53:48,terima kasih semua nyağŸ’ª
Mukhamad adi Firmansyah,5,2024-09-30 14:49:55,good
Wahab Yonto,5,2024-09-30 14:49:14,Bagus untuk hiburan dan info publik.
Danang Nusantara,5,2024-09-30 14:47:23,Good
Muhsinun 05,5,2024-09-30 14:46:57,Sangat bagus
Maman Azza,5,2024-09-30 14:44:57,Trima kasih meta smoga bisa dapat cuan hasil kreator
Miko,5,2024-09-30 14:44:02,bisa pas gitu ya ka cetak casing unik bikinanmu sendiri yang sakit hati tak tenang dan bahagia dan gembira dan mengenali diri dibelakang mata kita memandang rendah hati
Ramzan Zazali,5,2024-09-30 14:43:10,Keren
Enti Enti,1,2024-09-30 14:42:09,Memasak
ODILINA ZAI,5,2024-09-30 14:41:10,Semoga aplikasi facebook dari meta sukses selalu
Adi Sudrajat,5,2024-09-30 14:40:34,Ok
Anis Anissa,1,2024-09-30 14:40:10,"Error,nggak bisa liat notif,garis tiga dipojok,,,pokoknya yg diatas hilang"
Yudi Pras,4,2024-09-30 14:37:32,baik dan bagus
Ketut Suriawan,5,2024-09-30 14:36:41,sangat bagus
Henny Fadlina,5,2024-09-30 14:36:39,ok
Oska Mulyana,5,2024-09-30 14:31:20,Top
Ijang Yeuh,5,2024-09-30 14:31:04,Sangat bagus
Iyon Maryono1505,5,2024-09-30 14:30:31,sangat baik
narjo Wiyono,5,2024-09-30 14:29:59,Bagus membantu
Fia Sagaf,4,2024-09-30 14:29:38,Baguss
I gede arya Gautama,2,2024-09-30 14:28:55,Tampilan pada notifikasi di Facebook kadang ilang kadang muncul sendiri dan lebih sering bilang nya..
Arfan Rahman,5,2024-09-30 14:28:46,Ok
jepri jepri,2,2024-09-30 14:26:58,Semenjak diperbaharui sy tidak bisa ngecek notif terakhir yg muncul
Aji Gojin,3,2024-09-30 14:26:41,manap
Rai Sya,1,2024-09-30 14:26:30,Aduh gmna ni aplikasi lmot pdhl dh D update kdg klw up vidio suka gx bsa
Bay Liy,5,2024-09-30 14:25:49,untuk jadi konten kreator
Melia Hasnah,5,2024-09-30 14:24:53,good job
Yana Zaqiah,5,2024-09-30 14:23:42,sangat bermanfaat sekali
Opo Jare,5,2024-09-30 14:23:14,good job
Mak Bess,5,2024-09-30 14:23:11,Allhamdulillah bromo
Saman Hutasoit,5,2024-09-30 14:23:00,Mantap kx bah
Gilbet Gurik,5,2024-09-30 14:22:58,guts
Jhanry Nainggolan batuara,5,2024-09-30 14:20:24,Sangat puas
Ahmad sarep Sarep,5,2024-09-30 14:19:59,ok
Astati Astaqimah,1,2024-09-30 14:19:25,Aplikasi sering mengalami eror secara tiba-tiba saat sedang digunakan.
aris Kacong,5,2024-09-30 14:16:41,Mantap
Tison Bangde,3,2024-09-30 14:16:12,Ksh 3 dlu
Jayadi pga,5,2024-09-30 14:13:04,Sangat membantu kita semua
Arditia Gunawan,2,2024-09-30 14:12:36,Pengen kasih bintang 5 tapi fb skrg jadi ga ke buka tolong dong perbaikan nya
Tata Julianti,5,2024-09-30 14:11:41,penggemar berat Facebook ğŸ’–ğŸ’–ğŸ’–
feri tea,5,2024-09-30 14:11:29,Lebih di tingkatkan lagi
Rizky Elvano,1,2024-09-30 14:11:18,"Fb sudah tidak berguna , postingan jualan saya d grup2 selalu di hapusss cuihhh !!! Matiin rejeki orang aja"
Mochil GG,3,2024-09-30 14:09:15,Tranfes pakai qris saldo udh kepotong tapi uang gak masuk
FAUZAN ASROFI,5,2024-09-30 14:08:12,semoga di monet metağŸ¥°
Angga Saputra,1,2024-09-30 14:06:46,Kurang
Dedy Sutomo,5,2024-09-30 14:05:59,Mantap
Mas Tonji,5,2024-09-30 14:05:58,Fb prosaya tidak muncul mohon pencerahanya
Andi Labusel,3,2024-09-30 14:05:44,Mantap lah pokok ya
Alyn Marlina,5,2024-09-30 14:05:40,The best
Prince Rama,5,2024-09-30 14:03:32,uwau
Ali Rohmad,5,2024-09-30 14:01:29,terimakasih
Tri Pujianto,5,2024-09-30 14:01:13,alhamdulillah
Dafit Lite,5,2024-09-30 13:59:41,Bagus
FIRDAUSSAJA SITIAMINAH,5,2024-09-30 13:57:30,Bagus
Surip Yadi,5,2024-09-30 13:56:54,Baik
Romi Ibrahim,5,2024-09-30 13:56:54,mantap
Ghina Maulida,5,2024-09-30 13:56:48,keren
Riyansah Heki,5,2024-09-30 13:54:35,saya senang menggunakan FB
Afril Nurya,5,2024-09-30 13:54:07,keren
Sri Kurnia,5,2024-09-30 13:52:47,jangan lupa bahagia buat smua temankuh di FB....
Cep Ohang,5,2024-09-30 13:51:13,Halow
Anita Ar,2,2024-09-30 13:50:59,BgusğŸ¤©ğŸ’œğŸ’œğŸ’œğŸ’œğŸ’œğŸ’œğŸ–¤ğŸ–¤ğŸ–¤ğŸ–¤ğŸ–¤ğŸ’ŒğŸ¤—ğŸ¤ğŸ¤—â¤ï¸ğŸ§¡ğŸ’›ğŸ’šğŸ’™ğŸ’œğŸ–¤ğŸ’˜ğŸ’ğŸ’–ğŸ’—ğŸ’“ğŸ’ğŸ’•ğŸ’ŒğŸ’Ÿâ™¥ï¸â£ï¸ğŸ’”ğŸ’‹
Wayan Tis,5,2024-09-30 13:48:58,saya suka sekali
Bang Bily,5,2024-09-30 13:48:32,bagus
Bukan sembarangan,5,2024-09-30 13:48:31,ok lahh
Choirul Mufid,4,2024-09-30 13:47:46,Oyi
Fadli Ketapang,5,2024-09-30 13:45:57,sangat bagus sekali
Nur Hidayat,1,2024-09-30 13:45:39,Tidak bisa membuka link dengan alasan tidak ad data. Padahal ad paket.
Gede Ratmaja,5,2024-09-30 13:44:29,Lebih Bersaing Dengan Aplikasi2 yg lain
Mang Arka,5,2024-09-30 13:40:51,Very good ğŸ‘ ğŸ‘ ğŸ‘Œ
Usman Ali,5,2024-09-30 13:40:39,bagus
MOH. SOLEHUDDIN (Carank Gaming),5,2024-09-30 13:40:27,"Saran untuk bisa menambahkan lokasi terkini dan juga harus memakai nama lengkap dan juga alamat lengkap. Jadi postingan"" tidak bersifat anonim. Thanks"
Ilhamsyah,5,2024-09-30 13:37:16,Aplikasi legend yang menggeser friendster
Darman Bora,5,2024-09-30 13:37:08,Sangat baik
Muhammad Amin,5,2024-09-30 13:36:09,buat hiburan
Arif Arlansyah,3,2024-09-30 13:31:32,Berguna sekali
Jeli Bulu,5,2024-09-30 13:31:05,mantap...semoga bermanfaat untuk pemula dan jangkauan makin luas..terimakasih
Apay logem,5,2024-09-30 13:30:33,"Komentar di postingan ga masuk ke pemberitahuan, tolong di perbaiki agar saya bisa tau apabila ada orang yang berkomentar di postingan saya"
Anas Nr,5,2024-09-30 13:29:25,anada luar biasa meta
Kadek Merta,5,2024-09-30 13:26:59,sangat cepat
Ahmad Alfarizky,1,2024-09-30 13:24:49,Terdapat bug yaitu gak bisa tag seseorang di komentar tolong perbaiki
Tamatinaa Tasya12,5,2024-09-30 13:23:12,Halo Facebook kembang FB ku
Holdi Bae,5,2024-09-30 13:22:56,"BAGAI, MANA, CARA, BUKA , FACEBOOK, LETE"
Diniagustina Tina,5,2024-09-30 13:20:32,Sangat bermanfaat
fatmawati rahaded,5,2024-09-30 13:18:27,Tolong di perbaiki jgn error trs knp setiap aku masuk login gtu tertulis waktu habis kenapa sih? Tolong knp waktu habis terus kah
Otonomi Hlw,1,2024-09-30 13:16:52,"Aplikasi buruk, rusak, gk guna."
Rusydi Asy'ari,5,2024-09-30 13:14:41,siap
Pani Ardi,5,2024-09-30 13:10:20,mantap
Imroyati Iwoh,5,2024-09-30 13:06:16,good
wahyu priono,3,2024-09-30 13:02:10,Kenapa tampilan Facebook saya semua menunya hilang termasuk tombol titik 3 ttg pengaturan.
Anisa Zahra,5,2024-09-30 13:01:04,cakep
Ari wanita,5,2024-09-30 12:59:25,Ari Saputra
Dimas Satriya,5,2024-09-30 12:58:46,Bagus tapi mohon di perbaikilah di karenakan kalau mau login akun tidak bisa makanya mohon di perbaikilah secepatnya
Udin Dev,5,2024-09-30 12:58:45,mantap
ÃNTÃ“NIUS FÃ‰BRYÃNTÃ“,5,2024-09-30 12:58:15,aplikasinya sangat the best
Daytt Fivers,5,2024-09-30 12:56:38,baguss
Makin Amin,5,2024-09-30 12:53:14,Sangat baik
Dyuuff Dyuvyu4,5,2024-09-30 12:52:46,Iya
Dian Candra,5,2024-09-30 12:52:25,good Jobs
Andi Saja,2,2024-09-30 12:47:02,Kok nggak muncul gambar cuma layar putih
Ulle Van Hanson,5,2024-09-30 12:46:43,Mantap
Sugian,3,2024-09-30 12:46:25,Lumayan
andi bae,5,2024-09-30 12:45:07,Terima kasih FB media sosial yg bermanfaat dan menambah ilmu
Rizalfutra Rizalfutra,5,2024-09-30 12:44:15,Mantap
Hajrul Fatwa,5,2024-09-30 12:41:02,Alhamdulillah
Bang bang John,5,2024-09-30 12:40:09,mantap
Johari Bima,5,2024-09-30 12:35:50,sangat puas
Noid Daeng ella,5,2024-09-30 12:34:59,bagus
Guntur dwi prabowo â€œGeGe XOâ€ Prabowo,5,2024-09-30 12:26:40,Bagus vitur ini
Yukiawan Yukiawan,1,2024-09-30 12:26:00,Aplikasi jelek mau posting aja ga bisa
Ahmad Creew,5,2024-09-30 12:25:20,mantap
Illusion Maker,1,2024-09-30 12:24:54,Kenapa saya tidak bisa beralih ke mode data untuk membuka tautan di browser eksternal?
Ina Apriani,1,2024-09-30 12:24:54,"Saya baru saja membeli bintang,transaksi bank berhasil namun tidak ada di fb saat saya mau menggunakan"
Husnul Khatimah,3,2024-09-30 12:24:34,Kecewa sama fb
Yosi yosepa Pagor,5,2024-09-30 12:23:33,Semoga meta semakin maju terus membantu orang2 yang membutuhkanğŸ™ğŸ»
Muja Hidin,5,2024-09-30 12:22:52,Ok
Petaling Jaya,5,2024-09-30 12:21:33,Sngat bagus
Indra Pratama,5,2024-09-30 12:21:29,Keren
Ur. Cristiano,1,2024-09-30 12:19:27,"Saya mohon kepada Facebook agar memperbaiki segala bug salah satunya bug pesan, seperti yg saya alami ada bug pesan mohon agar segera di perbaiki. I beg Facebook to fix any bugs, one of which is a message bug, as I experienced a message bug, please fix it immediately"
Evan Tri Sugiantoro,5,2024-09-30 12:19:06,terimakasih Facebook Evan Tri G
Ade Sukmana,5,2024-09-30 12:18:33,bagus
Adelia Nathan,5,2024-09-30 12:18:22,Sangat membantu
Rolz 4You,2,2024-09-30 12:17:42,Tidak semua hp bisa menggunakan Facebook gratis
M andini,5,2024-09-30 12:17:02,sangat memuaskan ğŸ˜Š
Win Win,5,2024-09-30 12:15:48,Ok
Sugiono Bagas,5,2024-09-30 12:14:46,Terbantu sekali
Ajul saputra Ajul,5,2024-09-30 12:13:27,Sangat bagus
Zainuri Hari,5,2024-09-30 12:12:19,sangat membantu
FRR POTRET,5,2024-09-30 12:10:47,enak di pahami aplikasinya
Anggra Aini,5,2024-09-30 12:10:01,"Untuk fitur vidio reels ataupun vlog , bisakah fitur editnya di tambahin"
CERMIN WAP,5,2024-09-30 12:08:18,amazing fulus fulus
David Gignag,1,2024-09-30 12:07:38,"Your sponsor ads is annoying, it get click when scroll, its horizontal page, give you 1 star"
Cecep sk. Andriyona,5,2024-09-30 12:06:23,Aplikasi yg sangat membantu untuk bersosial media
Ayu Sri,5,2024-09-30 12:04:28,bagus
ayahancu Bundatuti,5,2024-09-30 12:04:09,Mantap
Gaza Attar,5,2024-09-30 12:03:03,baik
Nengsi Silalahi,5,2024-09-30 12:00:47,Mantap
Sari Sari,5,2024-09-30 12:00:27,Sangat meyenangkan
Hasan Udin,5,2024-09-30 11:59:12,sangat good
Khalim Lim,5,2024-09-30 11:58:57,terbaik
Mang Upe,2,2024-09-30 11:57:44,Kuliah kerja serabutan
Edi Purwanto,5,2024-09-30 11:55:56,saya sangat puas
Mohammad Suardi,5,2024-09-30 11:55:37,sya berikan bintang lima
Ahmad Solihin,3,2024-09-30 11:52:54,Smga lancar dan bermanfaat
Yuyun Musada,5,2024-09-30 11:52:35,semngat owan... â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸
Novandra Lunang,5,2024-09-30 11:49:43,sangat senang sudah bergabung di Facebook pro
Erviana Irma,1,2024-09-30 11:47:52,ğ‘€ğ“Šğ“ƒğ‘”ğ“€ğ’¾ğ“ƒ ğ’¸ğ“Šğ“€ğ“Šğ“… ğ’·ğ“Šğ’¶ğ“‰ ğ’¶ğ“…ğ“… ğ’¾ğ“ƒğ’¾ ğŸ¥µğŸ¤¬ğŸ˜‡
Yuli Ati,4,2024-09-30 11:46:56,Sangat membantu
Ardian Wsp,5,2024-09-30 11:45:28,oke
Fatkhur Rohman,5,2024-09-30 11:43:11,jos
Sunanto Ateng,5,2024-09-30 11:42:09,Ok
Snowden Weya,5,2024-09-30 11:42:05,sangat Puas dengan kinerja Meta
Nando Gebze,5,2024-09-30 11:35:46,sangat baik dan mantap
Kuyz fredoom09,2,2024-09-30 11:34:38,sekolah
sinta Calm,5,2024-09-30 11:31:30,ğŸ‘ğŸ‘ğŸ‘
malik ridwan 1703,5,2024-09-30 11:30:52,Bagus
Dark Ness,2,2024-09-30 11:30:11,Ga update ga login game jing
Abu bakar Sidik,5,2024-09-30 11:29:54,Lier loba teing akun FB na
Anhas L,5,2024-09-30 11:28:40,ğŸ˜¡ğŸ˜¡ğŸ˜¡
Bansaattt87 gilabenerr,5,2024-09-30 11:27:53,Suka
Muhammad Zainuri,5,2024-09-30 11:27:36,Bagus
L AKBAR KHOLIK,5,2024-09-30 11:25:03,Baik
Iskandar Haji,2,2024-09-30 11:24:09,YÅµÃ 
Moh iqbalul Khoiri,1,2024-09-30 11:23:44,Akun facebook gampang kehack gua punya akun facebook 2 kenek hack semua tolong di perbaiki
Patimah Virot,5,2024-09-30 11:23:35,Wow keren apk nya dongload sekarang kalau gak dongload nyesel
Sunar Ardi,5,2024-09-30 11:21:10,Mntap
Karsid Susanto,5,2024-09-30 11:19:13,Ok
Novita Liana,1,2024-09-30 11:15:32,Gak tau kenapa facebook saya tiba d blok padahal gak pernah komen aneh2 gak perna posting aneh2 mlah d blok kata nya melanggar ketentuan.. gimana solusi nya.. mana itu fb lama lagi..
Nanda Firnanda,5,2024-09-30 11:15:10,terbaik
Rolla Prassachay,1,2024-09-30 11:12:11,Menu di layar atas selalu hilang
Google Slots,5,2024-09-30 11:10:42,Bagus
Gion Duis saputra,1,2024-09-30 11:10:36,"Kok FB sekarang suka eror ya Padahal kita udah ngetik sandi akun malah muncul tanda sandi salah,padahal saya udah ngetik sandi yang betul dan gak pernah di ubah kok bisa jadi salah sandinya"
ellena singkawang,5,2024-09-30 11:09:29,FB::MantafğŸ‘ğŸ‘ğŸ‘ğŸ¥°ğŸ¥°ğŸ¥°
Kakang 1099,5,2024-09-30 11:08:05,"the best internasional,segera dimonetifikasi yah fecebook udah gak sabar pengen ngontenğŸ˜"
wahyu utami,5,2024-09-30 11:05:56,sangat baiik
Ganzz D Sini !,2,2024-09-30 11:05:31,"Tolong aplikasi nya ada fitur hapus email Facebook,soal nya sekarang sudah tidak bisa, tolong adakan fitur hapus email"
Jufian MIMI,4,2024-09-30 11:05:29,Menurut saya perlu di tingktkn lgi
Agus Santoso,1,2024-09-30 11:02:47,Ok
Rizzall,5,2024-09-30 11:01:00,bagus deh
